Title,Archive link,Primary Author(s),Year,Topic,Source,Keywords
Puckerings Archive: Estimating Ice Time (14 Mar 2001),https://archive.ph/CRMeO,Iain Fyffe,2001,Measures,Hockey Historyis,"Estimation, eTOI, Time on Ice"
Player Contribution: A Method for Allocating Credit for a Team's Performance to the Individual Contributors on a Hockey Team,https://web.archive.org/web/20210712080332/http://www.hockeyanalytics.com/Research_files/Player_Contribution_System.pdf,Alan Ryder,2003,Evaluation,Hockey Analytics,"Contribution, Player, Skaters"
Win Probabilities: A Tour Through Win Probability Models for Hockey,https://web.archive.org/web/20210506113404/http://www.hockeyanalytics.com/Research_files/Win_Probabilities.pdf,Alan Ryder,2004,Win Probability,Hockey Analytics,Win Probability
Shot Quality: A Methodology for the Study of the Quality of a Hockey Team's Shots Allowed,https://web.archive.org/web/20201109201023/http://hockeyanalytics.com/Research_files/Shot_Quality.pdf,Alan Ryder,2004,Measures,Hockey Analytics,Shot Quality
League Equivalencies,https://web.archive.org/web/20201111234640/http://hockeyanalytics.com/Research_files/League_Equivalencies.pdf,Gabe Desjardins,2004,Evaluation,Hockey Analytics,"Draft, NHL, Prospects"
Poisson Toolbox: A review of the application of the Poisson Probability Distribution in Hockey,https://web.archive.org/web/20210506074300/http://www.hockeyanalytics.com/Research_files/Poisson_Toolbox.pdf,Alan Ryder,2004,Miscellaneous,Hockey Analytics,Poisson
Goal Prevention,https://web.archive.org/web/20201212021327/https://hockeyanalytics.com/Research_files/Goal_Prevention_2004.pdf,Alan Ryder,2004,Measures,Hockey Analytics,Shot Quality
Projecting Junior Hockey Players and Translating Performance to the NHL,https://web.archive.org/web/20120504023629/http://www.behindthenet.ca/projecting_to_nhl.php,Gabe Desjardins,2004,Evaluation,Behind the Net,"Draft, NHL, Prospects"
Shot Quality: A logistic regression approach to assessing NHL shots on goal,,Kevin Krzywicki,2005,Measures,Hockey Analytics,Shot Quality
The Impact of Puck Possession and Location on Ice Hockey Strategy,,A.C. Thomas,2006,Strategy,Hockey Analytics,"Possession, Team"
Product Recall Notice for 'Shot Quality': Data Quality Problems with the Measurement of the Quality of a Hockey Team's Shots Taken and Allowed,,Alan Ryder,2007,Measures,Hockey Analytics,Shot Quality
Inter-arrival Times of Goals in Ice Hockey,,A.C. Thomas,2007,Miscellaneous,Hockey Analytics,
Estimating AHL Quality of Competition by Looking at Points Per Game of Opposing Forwards,,Jonathan Willis,2008,Measures,Copper and Blue,Quality of Competition / Teammates
Projecting Goalie Performance,,Bruce McCurdy,2008,Evaluation,Copper and Blue,Goalies
Shot Quality,,Tore Purdy,2008,Measures,Objective NHL,Shot Quality
Shot Attempts Against,,Philip Myrland,2008,Evaluation,Brodeur Is A Fraud,Goalies
Goalie Fatigue,,Philip Myrland,2008,Evaluation,Brodeur Is A Fraud,"Goalies, Fatigue"
Save Percentage and Shots Against,,Tore Purdy,2008,Evaluation,Objective NHL,Goalies
Shot Quality Part 2: Shot Quality For,,Tore Purdy,2008,Measures,Objective NHL,Shot Quality
Save Percentage vs. League Average,,Philip Myrland,2008,Evaluation,Brodeur Is A Fraud,"Goalies, Save Percentage, SV%"
The Trouble With Drafting Goalies,,Kent Wilson,2008,Evaluation,Flames Nation,"Goalies, NHL Draft"
Canadian Junior A NCAA/Major Junior Equivalencies,,Gabe Desjardins,2008,Evaluation,Behind the Net,"Draft, NHL, Prospects"
The First Goal,,Tore Purdy,2008,Miscellaneous,Objective NHL,
Estimating Brodeur's Shot Prevention,,Philip Myrland,2008,Evaluation,Brodeur Is A Fraud,"Goalies, Martin Brodeur, Puckhandling"
Position Value and Wage Determinants,,Sean Watterson,2009,Miscellaneous,Clemson University,"Positions, Value, Salary Projection"
The Importance of Context When Evaluating Shot Differential,,Derek Zona,2009,Measures,Copper and Blue,"Corsi, Fenwick"
