#,HTML,Link,Title,Author,Year,Topic,Keywords,Source,,
1,"<a href=""https://hockey-graphs.com/2018/01/04/goal-scorer-cluster-analysis/"" target=""_blank"">Goal Scorer Cluster Analysis</a>",https://hockey-graphs.com/2018/01/04/goal-scorer-cluster-analysis/,Goal Scorer Cluster Analysis,Alex Novet,2018,Evaluation,"Clusters, Goal Scoring, K-Means",Hockey-Graphs,,
2,"<a href=""http://www.greaterthanplusminus.com/2013/10/bayesian-approach-to-analyzing-goalies_7222.html"" target=""_blank"">Bayesian Approach to Analyzing Goalies - Part 3: Updating Estimates with More Data</a>",http://www.greaterthanplusminus.com/2013/10/bayesian-approach-to-analyzing-goalies_7222.html,Bayesian Approach to Analyzing Goalies - Part 3: Updating Estimates with More Data,Brian MacDonald,2013,Evaluation,"Goalies, Bayesian, Save Percentage, SV%",Greater Than Plus Minus,,
3,"<a href=""http://www.nhlspecialteams.com/blog/2016/3/1/are-power-play-drop-pass-entries-effective"" target=""_blank"">Are Power Play Drop Pass Entries Effective?</a>",http://www.nhlspecialteams.com/blog/2016/3/1/are-power-play-drop-pass-entries-effective,Are Power Play Drop Pass Entries Effective?,Arik Parnass,2016,Measures,Powerplay,Special Teams Project,,
4,"<a href=""http://www.nhlspecialteams.com/blog/2016/1/19/how-important-is-playing-the-off-wing-on-the-power-play"" target=""_blank"">How Important is Playing the Off-Wing on the Power Play?</a>",http://www.nhlspecialteams.com/blog/2016/1/19/how-important-is-playing-the-off-wing-on-the-power-play,How Important is Playing the Off-Wing on the Power Play?,Arik Parnass,2016,Measures,Powerplay,Special Teams Project,,
5,"<a href=""http://archive.is/2Odvy"" target=_blank"">Draft Expected Value</a>",http://archive.is/2Odvy,Draft Expected Value,Hayden Speak,2017,Evaluation,"Predicting Draft Success, Prospects, NHL Draft",Prospect-Stats,,
6,"<a href=""https://jenlc13.wordpress.com/2015/02/20/penalty-killing-metrics-and-pitfalls-in-evaluating-success/"" target=""_blank"">Penalty Killing Metrics and Pitfalls in Evaluating Success</a>",https://jenlc13.wordpress.com/2015/02/20/penalty-killing-metrics-and-pitfalls-in-evaluating-success/,Penalty Killing Metrics and Pitfalls in Evaluating Success,Jen Lute Costella,2015,Measures,Penalty Kill,Jen LC 13,,
7,"<a href=""http://blog.war-on-ice.com/index.html%3Fp=404.html"" target=""_blank"">The Road to WAR, Part 10: Modern Goaltending and Shooting</a>",http://blog.war-on-ice.com/index.html%3Fp=404.html,"The Road to WAR, Part 10: Modern Goaltending and Shooting",A.C. Thomas,2014,Evaluation,"Skaters, WAR",WAR-on-Ice,,
8,"<a href=""https://hockey-graphs.com/2017/03/14/strong-and-weak-links-talent-distribution-within-teams/"" target=""_blank"">Strong and Weak Links: Talent Distribution within Teams</a>",https://hockey-graphs.com/2017/03/14/strong-and-weak-links-talent-distribution-within-teams/,Strong and Weak Links: Talent Distribution within Teams,Alex Novet,2017,Management,"Construction, Roster, Team",Hockey Graphs,,
9,"<a href=""https://hockey-graphs.com/2017/02/13/theres-no-secret-to-protecting-a-lead/"" target=""_blank"">There's No Secret to Protecting a Lead</a>",https://hockey-graphs.com/2017/02/13/theres-no-secret-to-protecting-a-lead/,There's No Secret to Protecting a Lead,Alex Novet,2017,Strategy,"Lead Protection, Team",Hockey Graphs,,
10,"<a href=""http://www.crowdscoutsports.com/game-theory/rebound-control/"" target=""_blank"">Rebound Control</a>",http://www.crowdscoutsports.com/game-theory/rebound-control/,Rebound Control,Cole Anderson,2017,Evaluation,"Goalies, Probability, Rebounds",Crowd Scout Sports,,
11,"<a href=""https://hockey-graphs.com/2014/02/03/forecasting-future-goalie-performance-with-four-year-hockey-marcels/"" target=""_blank"">Forecasting Future Goalie Performance with Four Year Hockey Marcels</a>",https://hockey-graphs.com/2014/02/03/forecasting-future-goalie-performance-with-four-year-hockey-marcels/,Forecasting Future Goalie Performance with Four Year Hockey Marcels,Garik16,2014,Evaluation,"Goalies, Marcels",Hockey Graphs,,
12,"<a href=""https://www.bsndenver.com/introduction-to-the-player-evaluation-tool-pet-chart/"" target=""_blank"">Introduction to the Player Evaluation Tool (PET)</a>",https://www.bsndenver.com/introduction-to-the-player-evaluation-tool-pet-chart/,Introduction to the Player Evaluation Tool (PET),Andi Duroux,2018,Measures,"Player Evaluation, Tableau, Transition",BSN Denver,,
13,"<a href=""http://blog.war-on-ice.com/index.html%3Fp=420.html"" target=""_blank"">The Road to WAR, Part 11: Shot Rates For And Against, or that quality we deliberately avoid calling ""possession""</a>",http://blog.war-on-ice.com/index.html%3Fp=420.html,"The Road to WAR, Part 11: Shot Rates For And Against, or that quality we deliberately avoid calling ""possession""",A.C. Thomas,2014,Evaluation,"Skaters, WAR",WAR-on-Ice,,
14,"<a href=""http://www.sportsnet.ca/hockey/nhl/when-to-be-aggressive-and-when-to-be-cautious-at-nhl-trade-deadline/"" target=""_blank"">When To Be Aggressive and When To Be Cautious At NHL Trade Deadline</a>",http://www.sportsnet.ca/hockey/nhl/when-to-be-aggressive-and-when-to-be-cautious-at-nhl-trade-deadline/,When To Be Aggressive and When To Be Cautious At NHL Trade Deadline,Steve Burtch,2016,Evaluation,"Draft Picks, Goals Above Replacement, Trade Deadline",Sportsnet,,
15,"<a href=""http://www.sportsnet.ca/hockey/nhl/analyzing-value-nhl-draft-picks/"" target=_blank"">Analyzing the Value of NHL Draft Picks</a>",http://www.sportsnet.ca/hockey/nhl/analyzing-value-nhl-draft-picks/,Analyzing the Value of NHL Draft Picks,Steve Burtch,2015,Evaluation,"NHL Draft, Prospects, Draft Pick Value",Sportsnet,,
16,"<a href=""http://www.nhlspecialteams.com/blog/2016/2/13/is-dumping-the-puck-damaging-on-the-power-play"" target=""_blank"">Is Dumping the Puck Damaging on the Power Play?</a>",http://www.nhlspecialteams.com/blog/2016/2/13/is-dumping-the-puck-damaging-on-the-power-play,Is Dumping the Puck Damaging on the Power Play?,Arik Parnass,2016,Measures,Powerplay,Special Teams Project,,
17,"<a href=""http://blog.war-on-ice.com/index.html%3Fp=354.html"" target=""_blank"">The Road to WAR, Part 7: What Do We Mean by ""Replacement""? A Case Study with Faceoffs</a>",http://blog.war-on-ice.com/index.html%3Fp=354.html,"The Road to WAR, Part 7: What Do We Mean by ""Replacement""? A Case Study with Faceoffs",A.C. Thomas,2014,Evaluation,"Faceoffs, Skaters, WAR",WAR-on-Ice,,
18,"<a href=""https://fancystatsisland.wordpress.com/2015/10/28/generating-offense-and-shots-per-entry-2/"" target=""_blank"">Generating Offense and Shots Per Entry</a>",https://fancystatsisland.wordpress.com/2015/10/28/generating-offense-and-shots-per-entry-2/,Generating Offense and Shots Per Entry,Alex Novet,2015,Measures,Zone Entries/Exits/Starts,Fancy Stats Island,,
19,"<a href=""http://blog.war-on-ice.com/page/2/index.html"" target=""_blank"">Back-to-backs and goalie performance </a>",http://blog.war-on-ice.com/page/2/index.html,Back-to-backs and goalie performance,A.C. Thomas,2015,Evaluation,"Back-to-Back, Goalies",WAR-on-Ice,,
20,"<a href=""http://www.nhlspecialteams.com/blog/2016/2/1/statistically-analyzing-hockeys-one-timer"" target=""_blank"">Statistically Analyzing Hockey’s One-Timer</a>",http://www.nhlspecialteams.com/blog/2016/2/1/statistically-analyzing-hockeys-one-timer,Statistically Analyzing Hockey’s One-Timer,Arik Parnass,2016,Measures,Powerplay,Special Teams Project,,
21,"<a href=""https://hockey-graphs.com/2016/01/14/special-teams-analytics-in-the-21st-century/"" target=""_blank"">Special Teams Analytics in the 21st Century</a>",https://hockey-graphs.com/2016/01/14/special-teams-analytics-in-the-21st-century/,Special Teams Analytics in the 21st Century,Arik Parnass,2016,Measures,Powerplay,Hockey Graphs,,
22,"<a href=""http://blog.war-on-ice.com/index.html%3Fp=47.html"" target=""_blank"">The Road to WAR (for Hockey), Part 5: Getting Goals Above Baseline</a>",http://blog.war-on-ice.com/index.html%3Fp=47.html,"The Road to WAR (for Hockey), Part 5: Getting Goals Above Baseline",A.C. Thomas,2015,Evaluation,Skaters,WAR-on-Ice,,
23,"<a href=""https://originalsixanalytics.com/2016/03/04/how-to-value-draft-picks-vs-active-players/"" target=""_blank"">How To Value Draft Picks vs. Active Players</a>",https://originalsixanalytics.com/2016/03/04/how-to-value-draft-picks-vs-active-players/,How To Value Draft Picks vs. Active Players,Mike Zsolt,2016,Evaluation,"Expected Points, Draft Analysis, Draft Picks",Original Six Analytics,,
24,"<a href=""https://hockey-graphs.com/2016/07/06/neutral-zone-playing-styles/"" target=""_blank"">Neutral Zone Playing Styles</a>",https://hockey-graphs.com/2016/07/06/neutral-zone-playing-styles/,Neutral Zone Playing Styles,Alex Novet,2016,Measures,Zone Entries / Exits / Starts,Hockey Graphs,,
25,"<a href=""https://mapleleafsnation.com/2018/01/24/why-the-leafs-have-been-underperforming-at-home/"" target=_blank"">Why the Leafs have been struggling at home</a>",https://mapleleafsnation.com/2018/01/24/why-the-leafs-have-been-underperforming-at-home/,Why the Leafs have been struggling at home,Ian Tulloch,2018,Evaluation,"Home Ice Advantage, Line Matching",Maple Leafs Nation,,
26,"<a href=""https://hockey-graphs.com/2016/03/24/can-we-accurately-predict-which-pk-units-will-score-shorthanded/"" target=""_blank"">Can We Accurately Predict Which PK Units Will Score Shorthanded?</a>",https://hockey-graphs.com/2016/03/24/can-we-accurately-predict-which-pk-units-will-score-shorthanded/,Can We Accurately Predict Which PK Units Will Score Shorthanded?,Arik Parnass,2016,Measures,"Penalty Kill, Shorthanded",Hockey Graphs,,
27,"<a href=""http://blog.war-on-ice.com/index.html%3Fp=371.html"" target=""_blank"">The Road to WAR, Part 8: Penalties Taken and Drawn</a>",http://blog.war-on-ice.com/index.html%3Fp=371.html,"The Road to WAR, Part 8: Penalties Taken and Drawn",A.C. Thomas,2014,Evaluation,"Skaters, WAR",WAR-on-Ice,,
28,"<a href=""https://hockey-graphs.com/2017/06/21/who-you-calling-weak-draft-class-variance/"" target=""_blank"">Who You Calling Weak? Draft Class Variance</a>",https://hockey-graphs.com/2017/06/21/who-you-calling-weak-draft-class-variance/,Who You Calling Weak? Draft Class Variance,Alex Novet,2017,NHL Draft,,Hockey Graphs,,
29,"<a href=""https://hockey-graphs.com/2015/12/01/rebounds-extended-zone-time-and-the-quest-for-more-offense/"" target=""_blank"">Rebounds, Extended Zone Time, and the Quest for More Offense</a>",https://hockey-graphs.com/2015/12/01/rebounds-extended-zone-time-and-the-quest-for-more-offense/,"Rebounds, Extended Zone Time, and the Quest for More Offense",Adam Stringham,2015,Evaluation,"Shots, Team, Zone Time",Hockey Graphs,,
30,"<a href=""http://www.nhlspecialteams.com/blog/2016/2/22/special-teams-spotlight-the-optimal-6-on-4-formation"" target=""_blank"">Special Teams Spotlight: The Optimal 6-on-4 Formation</a>",http://www.nhlspecialteams.com/blog/2016/2/22/special-teams-spotlight-the-optimal-6-on-4-formation,Special Teams Spotlight: The Optimal 6-on-4 Formation,Arik Parnass,2016,Measures,Powerplay,Special Teams Project,,
31,"<a href=""https://rstudio-pubs-static.s3.amazonaws.com/311470_f6e88d4842da46e9941cc6547405a051.html"" target=""_blank"">NHL Expected Goals Model</a>",https://rstudio-pubs-static.s3.amazonaws.com/311470_f6e88d4842da46e9941cc6547405a051.html,NHL Expected Goals Model,Matthew Barlowe,2017,Evaluation,"Expected Goals, Logistic Regression",RStudio,,
32,"<a href=""http://blog.war-on-ice.com/the-road-to-war-part-9-historical-shooting-and-goaltending/index.html"" target=""_blank"">The Road to WAR, Part 9: Historical Shooting and Goaltending</a>",http://blog.war-on-ice.com/the-road-to-war-part-9-historical-shooting-and-goaltending/index.html,"The Road to WAR, Part 9: Historical Shooting and Goaltending",A.C. Thomas,2014,Evaluation,"Skaters, WAR",WAR-on-Ice,,
33,"<a href=""https://hockey-graphs.com/2017/12/12/estimating-shot-assists/"" target=""_blank"">Estimating Shot Assist Quantities for Skaters</a>",https://hockey-graphs.com/2017/12/12/estimating-shot-assists/,Estimating Shot Assist Quantities for Skaters,Loserpoints,2017,Evaluation,"Passing, Shot Quality, Skaters",Hockey-Graphs,,
34,"<a href=""https://canucksarmy.com/2015/07/24/establishing-ahl-baseline-s-for-prospect-success/"" target=""_blank"">Establishing AHL Baselines For Prospect Success</a>",https://canucksarmy.com/2015/07/24/establishing-ahl-baseline-s-for-prospect-success/,Establishing AHL Baselines For Prospect Success,Josh Weissbock,2015,Evaluation,"Defensemen, Prospects, AHL, Scoring, Aging Curves",Canucks Army,,
35,"<a href=""https://hockey-graphs.com/2016/04/25/how-can-we-quantify-power-play-performance-in-formation/"" target=""_blank"">How Can We Quantify Power Play Performance in Formation?</a>",https://hockey-graphs.com/2016/04/25/how-can-we-quantify-power-play-performance-in-formation/,How Can We Quantify Power Play Performance in Formation?,Arik Parnass,2016,Measures,Powerplay,Hockey Graphs,,
