,id,franchiseId,fullName,leagueId,rawTricode,triCode
0,11,35.0,Atlanta Thrashers,133,ATL,ATL
1,34,26.0,Hartford Whalers,133,HFD,HFD
2,31,15.0,Minnesota North Stars,133,MNS,MNS
3,32,27.0,Quebec Nordiques,133,QUE,QUE
4,33,28.0,Winnipeg Jets (1979),133,WIN,WIN
5,35,23.0,Colorado Rockies,133,CLR,CLR
6,36,3.0,Ottawa Senators (1917),133,SEN,SEN
7,37,4.0,Hamilton Tigers,133,HAM,HAM
8,38,9.0,Pittsburgh Pirates,133,PIR,PIR
9,39,9.0,Philadelphia Quakers,133,QUA,QUA
10,40,12.0,Detroit Cougars,133,DCG,DCG
11,41,2.0,Montreal Wanderers,133,MWN,MWN
12,42,4.0,Quebec Bulldogs,133,QBD,QBD
13,43,7.0,Montreal Maroons,133,MMR,MMR
14,44,8.0,New York Americans,133,NYA,NYA
15,45,3.0,St. Louis Eagles,133,SLE,SLE
16,46,13.0,Oakland Seals,133,OAK,OAK
17,47,21.0,Atlanta Flames,133,AFM,AFM
18,48,23.0,Kansas City Scouts,133,KCS,KCS
19,49,13.0,Cleveland Barons,133,CLE,CLE
20,50,12.0,Detroit Falcons,133,DFL,DFL
21,51,8.0,Brooklyn Americans,133,BRK,BRK
22,56,13.0,California Golden Seals,133,CGS,CGS
23,57,5.0,Toronto Arenas,133,TAN,TAN
24,58,5.0,Toronto St. Patricks,133,TSP,TSP
25,99,,NHL,133,NHL,NHL
26,17,12.0,Detroit Red Wings,133,DET,DET
27,6,6.0,Boston Bruins,133,BOS,BOS
28,52,35.0,Winnipeg Jets,133,WPG,WPG
29,55,39.0,Seattle Kraken,133,SEA,SEA
30,5,17.0,Pittsburgh Penguins,133,PIT,PIT
31,14,31.0,Tampa Bay Lightning,133,TBL,TBL
32,4,16.0,Philadelphia Flyers,133,PHI,PHI
33,10,5.0,Toronto Maple Leafs,133,TOR,TOR
34,12,26.0,Carolina Hurricanes,133,CAR,CAR
35,53,28.0,Arizona Coyotes,133,ARI,ARI
36,20,21.0,Calgary Flames,133,CGY,CGY
37,8,1.0,Montréal Canadiens,133,MTL,MTL
38,15,24.0,Washington Capitals,133,WSH,WSH
39,23,20.0,Vancouver Canucks,133,VAN,VAN
40,21,27.0,Colorado Avalanche,133,COL,COL
41,18,34.0,Nashville Predators,133,NSH,NSH
42,24,32.0,Anaheim Ducks,133,ANA,ANA
43,54,38.0,Vegas Golden Knights,133,VGK,VGK
44,25,15.0,Dallas Stars,133,DAL,DAL
45,27,28.0,Phoenix Coyotes,133,PHX,PHX
46,16,11.0,Chicago Blackhawks,133,CHI,CHI
47,3,10.0,New York Rangers,133,NYR,NYR
48,29,36.0,Columbus Blue Jackets,133,CBJ,CBJ
49,13,33.0,Florida Panthers,133,FLA,FLA
50,22,25.0,Edmonton Oilers,133,EDM,EDM
51,30,37.0,Minnesota Wild,133,MIN,MIN
52,19,18.0,St. Louis Blues,133,STL,STL
53,9,30.0,Ottawa Senators,133,OTT,OTT
54,2,22.0,New York Islanders,133,NYI,NYI
55,26,14.0,Los Angeles Kings,133,LAK,LAK
56,1,23.0,New Jersey Devils,133,NJD,NJD
57,70,,To be determined,133,TBD,TBD
58,59,,XXX,133,XXX,XXX
59,7,19.0,Buffalo Sabres,133,BUF,BUF
60,28,29.0,San Jose Sharks,133,SJS,SJS
